title,url,tap,coder,time
Chân Mệnh Thiên Tử - Tập 01 , https://ucarecdn.com/066991bc-514b-448b-b3f0-e65d537e5bdf/chanmenhthientutap01.mp4 , Tập 01 , Tống Trần Kiên , 41:09
Chân Mệnh Thiên Tử - Tập 02 , https://ucarecdn.com/3248fb22-1d43-47fc-a313-6c3dec53312c/chanmenhthientutap02.mp4 , Tập 02 , Tống Trần Kiên , 42:52
Chân Mệnh Thiên Tử - Tập 03 , https://ucarecdn.com/88ceb996-81e5-4be6-a3ff-4c56f500bbfe/chanmenhthientutap03.mp4 , Tập 03 , Tống Trần Kiên , 42:17
Chân Mệnh Thiên Tử - Tập 04 , https://ucarecdn.com/521f4dc4-8391-4c67-b536-a60a40d0169d/chanmenhthientutap04.mp4 , Tập 04 , Tống Trần Kiên , 41:47
Chân Mệnh Thiên Tử - Tập 05 , https://ucarecdn.com/7090befc-ee50-486c-a873-a87c49eba92c/chanmenhthientutap05.mp4 , Tập 05 , Tống Trần Kiên , 43:11
Chân Mệnh Thiên Tử - Tập 06 , https://ucarecdn.com/8659a8fc-a4c6-43b1-b462-fccf09439346/chanmenhthientutap06.mp4 , Tập 06 , Tống Trần Kiên , 42:07
Chân Mệnh Thiên Tử - Tập 07 , https://ucarecdn.com/e951d717-9420-4a28-817b-a7ff93894a7b/chanmenhthientutap07.mp4 , Tập 07 , Tống Trần Kiên , 42:51
Chân Mệnh Thiên Tử - Tập 08 , https://ucarecdn.com/4fa35cd5-d28e-4395-8717-5b895cc00cb9/chanmenhthientutap08.mp4 , Tập 08 , Tống Trần Kiên , 44:04
Chân Mệnh Thiên Tử - Tập 09 , https://ucarecdn.com/2bd287fd-b5f7-490a-8ed0-f38bb6235bc7/chanmenhthientutap09.mp4 , Tập 09 , Tống Trần Kiên , 42:35
Chân Mệnh Thiên Tử - Tập 10 , https://ucarecdn.com/5cb6667d-3a59-4858-ab59-a70afad125d2/chanmenhthientutap10.mp4 , Tập 10 , Tống Trần Kiên , 42:09
Chân Mệnh Thiên Tử - Tập 11 , https://ucarecdn.com/b9893e7c-0dcb-4e45-b90d-0bd1c8816cf3/chanmenhthientutap11.mp4 , Tập 11 , Tống Trần Kiên , 42:25
Chân Mệnh Thiên Tử - Tập 12 , https://ucarecdn.com/5a4e3830-54a0-4f4b-9199-999fa08a52e6/chanmenhthientutap12.mp4 , Tập 12 , Tống Trần Kiên , 42:45
Chân Mệnh Thiên Tử - Tập 13 , https://ucarecdn.com/66a00850-d850-4609-83e0-e9b7de8ff592/chanmenhthientutap13.mp4 , Tập 13 , Tống Trần Kiên , 42:27
