title,url,tap,coder,time
Người Phán Xử - Tập 01 , https://ucarecdn.com/7f9b79ab-428d-4c87-96d9-d82b40dfb02c/nguoiphanxutap01.mp4 , Tập 01 , Tống Trần Kiên , 47:29
Người Phán Xử - Tập 02 , https://ucarecdn.com/7c6a5b2d-ff30-47d8-a230-a8a4afabb9d0/nguoiphanxutap02.mp4 , Tập 02 , Tống Trần Kiên , 46:45
Người Phán Xử - Tập 03 , https://ucarecdn.com/13f921e9-596d-416b-97bf-db04a03c8643/nguoiphanxutap03.mp4 , Tập 03 , Tống Trần Kiên , 43:58
Người Phán Xử - Tập 04 , https://ucarecdn.com/74fb4222-c2c5-48f8-b51b-10fc3f23c7d8/nguoiphanxutap04.mp4 , Tập 04 , Tống Trần Kiên , 47:15
Người Phán Xử - Tập 05 , https://ucarecdn.com/8781b0ed-16e1-442f-912e-0f057f761b9e/nguoiphanxutap05.mp4 , Tập 05 , Tống Trần Kiên , 48:12
Người Phán Xử - Tập 06 , https://ucarecdn.com/bccff6ad-fcf1-488d-b8b2-3c8b74dd6ec2/nguoiphanxutap06.mp4 , Tập 06 , Tống Trần Kiên , 45:56
Người Phán Xử - Tập 07 , https://ucarecdn.com/69ba5979-7b1b-4e51-8c71-e6d7dbaeafa0/nguoiphanxutap07.mp4 , Tập 07 , Tống Trần Kiên , 47:37
Người Phán Xử - Tập 08 , https://ucarecdn.com/69edcdd1-dc7b-4f69-8799-5027eb9c703c/nguoiphanxutap08.mp4 , Tập 08 , Tống Trần Kiên , 45:33
Người Phán Xử - Tập 09 , https://ucarecdn.com/5841a025-ef02-404e-a28f-f0942ed02d73/nguoiphanxutap09.mp4 , Tập 09 , Tống Trần Kiên , 47:03
Người Phán Xử - Tập 10 , https://ucarecdn.com/fbf3fa2b-0180-4862-abc4-980f7804373f/nguoiphanxutap10.mp4 , Tập 10 , Tống Trần Kiên , 45:22
Người Phán Xử - Tập 11 , https://ucarecdn.com/f690c0f1-bcd2-433c-a39e-65d8fcbc5579/nguoiphanxutap11.mp4 , Tập 11 , Tống Trần Kiên , 46:25
Người Phán Xử - Tập 12 , https://ucarecdn.com/1f89913c-450b-41f0-8535-c5f31ea4e5ba/nguoiphanxutap12.mp4 , Tập 12 , Tống Trần Kiên , 45:44
Người Phán Xử - Tập 13 , https://ucarecdn.com/547a7c77-adb3-4382-a8cb-21c82fe4670a/nguoiphanxutap13.mp4 , Tập 13 , Tống Trần Kiên , 47:14
Người Phán Xử - Tập 14 , https://ucarecdn.com/d2c984e5-8845-46f3-8443-f7151bb4e7d2/nguoiphanxutap14.mp4 , Tập 14 , Tống Trần Kiên , 48:38
Người Phán Xử - Tập 15 , https://ucarecdn.com/d4e28c24-ed50-4bfc-b393-00f06ffd1673/nguoiphanxutap15.mp4 , Tập 15 , Tống Trần Kiên , 44:40
Người Phán Xử - Tập 16 , https://ucarecdn.com/5563d931-c4c8-42f8-8d3a-d2ad49879a5f/nguoiphanxutap16.mp4 , Tập 16 , Tống Trần Kiên , 51:50
Người Phán Xử - Tập 17 , https://ucarecdn.com/d5918939-3e05-4b7f-9bfc-815e5bdc90e3/nguoiphanxutap17.mp4 , Tập 17 , Tống Trần Kiên , 44:54
Người Phán Xử - Tập 18 , https://ucarecdn.com/03385183-d773-439c-aaf5-f464d3d7ad5b/nguoiphanxutap18.mp4 , Tập 18 , Tống Trần Kiên , 46:02
Người Phán Xử - Tập 19 , https://ucarecdn.com/9e32d7c4-a7eb-4145-9ce5-3b86e89e0312/nguoiphanxutap19.mp4 , Tập 19 , Tống Trần Kiên , 47:04
Người Phán Xử - Tập 20 , https://ucarecdn.com/83d4443d-ebd3-4def-8655-11046cd479cf/nguoiphanxutap20.mp4 , Tập 20 , Tống Trần Kiên , 44:40
Người Phán Xử - Tập 21 , https://ucarecdn.com/a69b68ba-1c28-4464-a876-84417e2fd6db/nguoiphanxutap21.mp4 , Tập 21 , Tống Trần Kiên , 46:10
Người Phán Xử - Tập 22 , https://ucarecdn.com/2296105f-8827-47bb-b631-d544de62dc24/nguoiphanxutap22.mp4 , Tập 22 , Tống Trần Kiên , 45:55
Người Phán Xử - Tập 23 , https://ucarecdn.com/24648f72-fc63-4d6f-9482-1aace7fa7174/nguoiphanxutap23.mp4 , Tập 23 , Tống Trần Kiên , 46:23
Người Phán Xử - Tập 24 , https://ucarecdn.com/c7119112-411c-494b-bb7e-afa05d5882e5/nguoiphanxutap24.mp4 , Tập 24 , Tống Trần Kiên , 48:32
Người Phán Xử - Tập 25 , https://ucarecdn.com/f2599109-e3bf-491c-a596-0d13762f5fd4/nguoiphanxutap25.mp4 , Tập 25 , Tống Trần Kiên , 45:03
Người Phán Xử - Tập 26 , https://ucarecdn.com/9e232ace-bd47-4831-bcf2-734f51120269/nguoiphanxutap26.mp4 , Tập 26 , Tống Trần Kiên , 43:45
Người Phán Xử - Tập 27 , https://ucarecdn.com/cb9de4be-833d-4ccf-bd1a-cc29c3c92531/nguoiphanxutap27.mp4 , Tập 27 , Tống Trần Kiên , 45:02
Người Phán Xử - Tập 28 , https://ucarecdn.com/84fe74b3-ab14-40ae-ae56-a288c770f960/nguoiphanxutap28.mp4 , Tập 28 , Tống Trần Kiên , 45:53
Người Phán Xử - Tập 29 , https://ucarecdn.com/7fc31adc-4217-4951-af26-9964360df7c5/nguoiphanxutap29.mp4 , Tập 29 , Tống Trần Kiên , 45:13
Người Phán Xử - Tập 30 , https://ucarecdn.com/4746b845-1c2c-497b-9379-824ce3312374/nguoiphanxutap30.mp4 , Tập 30 , Tống Trần Kiên , 41:53
Người Phán Xử - Tập 31 , https://ucarecdn.com/bfb5e63d-a0af-439f-bef4-7b55ab90de5a/nguoiphanxutap31.mp4 , Tập 31 , Tống Trần Kiên , 44:11
Người Phán Xử - Tập 32 , https://ucarecdn.com/20b595c0-89d0-46ac-92ef-59ac0d1e6029/nguoiphanxutap32.mp4 , Tập 32 , Tống Trần Kiên , 46:39
Người Phán Xử - Tập 33 , https://ucarecdn.com/bbca6f55-1e40-49ac-bc46-deed5927ccf0/nguoiphanxutap33.mp4 , Tập 33 , Tống Trần Kiên , 44:14
Người Phán Xử - Tập 34 , https://ucarecdn.com/b4488471-5969-4964-b7f5-e5e08ce0c1e3/nguoiphanxutap34.mp4 , Tập 34 , Tống Trần Kiên , 31:04
Người Phán Xử - Tập 35 , https://ucarecdn.com/08ee4b3d-5358-482d-9c06-2073efb35031/nguoiphanxutap35.mp4 , Tập 35 , Tống Trần Kiên , 43:21
Người Phán Xử - Tập 36 , https://ucarecdn.com/59856d7b-f975-4037-8440-717e157c4f7b/nguoiphanxutap36.mp4 , Tập 36 , Tống Trần Kiên , 44:14
Người Phán Xử - Tập 37 , https://ucarecdn.com/d02ebfd1-0829-4f5e-aab1-055933c7f529/nguoiphanxutap37.mp4 , Tập 37 , Tống Trần Kiên , 42:29
Người Phán Xử - Tập 38 , https://ucarecdn.com/866532bc-01c9-4315-880e-0d6ea05b1c60/nguoiphanxutap38.mp4 , Tập 38 , Tống Trần Kiên , 43:47
Người Phán Xử - Tập 39 , https://ucarecdn.com/86305ff6-6ff2-4635-89fb-d06578c453b6/nguoiphanxutap39.mp4 , Tập 39 , Tống Trần Kiên , 36:06
Người Phán Xử - Tập 40 , https://ucarecdn.com/c320a330-162c-43d7-839b-39e4cdcf59c1/nguoiphanxutap40.mp4 , Tập 40 , Tống Trần Kiên , 45:02
Người Phán Xử - Tập 41 , https://ucarecdn.com/772883b1-f101-4f4d-8815-31380b34a5a7/nguoiphanxutap41.mp4 , Tập 41 , Tống Trần Kiên , 43:27
Người Phán Xử - Tập 42 , https://ucarecdn.com/2c99283a-3915-4d1d-b92d-ea8829bbe644/nguoiphanxutap42.mp4 , Tập 42 , Tống Trần Kiên , 42:45
Người Phán Xử - Tập 43 , https://ucarecdn.com/0e2efd00-8731-4099-88c5-1af0a215e775/nguoiphanxutap43.mp4 , Tập 43 , Tống Trần Kiên , 43:50
Người Phán Xử - Tập 44 , https://ucarecdn.com/50ce9dda-03f0-450e-acb8-28fde353ed7e/nguoiphanxutap44.mp4 , Tập 44 , Tống Trần Kiên , 44:55
Người Phán Xử - Tập 45 , https://ucarecdn.com/ee81439e-b16e-465e-8fc7-151c661cee90/nguoiphanxutap45.mp4 , Tập 45 , Tống Trần Kiên , 44:53
Người Phán Xử - Tập 46 , https://ucarecdn.com/adbd8552-976e-4cdb-837f-5b30ceedc647/nguoiphanxutap46.mp4 , Tập 46 , Tống Trần Kiên , 43:05
Người Phán Xử - Tập 47 ( Tập Cuối ) , https://ucarecdn.com/f31dc81e-f586-4168-8378-ca50c00809ca/nguoiphanxutap47.mp4 , Tập 47 , Tống Trần Kiên , 49:08
